"id";"anneesco_cdn";"anneesco_libusage";"mef_stat_4";"libelle_court";"libelle_long";"date_ouverture";"date_fermeture";"indic_autorise_eleve";"indic_autorise_apprenti";"nb_mef_valide_annsco";"nb_mef_valide_annsco_ea";"nb_sectref_valide_annsco";"mefstat4_ordtri";"date_jeu_donnees"
1;10;"2006-2007";"1110";"TPS";"TOUTE PETITE SECTION";"1992-09-01 00:00:00";"";"Non";"Non";1;0;0;1;"2017-08-25"
2;10;"2006-2007";"1111";"PS";"PETITE SECTION";"1992-09-01 00:00:00";"";"Non";"Non";1;0;0;2;"2017-08-25"
3;10;"2006-2007";"1112";"MS";"MOYENNE SECTION";"1992-09-01 00:00:00";"";"Non";"Non";1;0;0;3;"2017-08-25"
4;10;"2006-2007";"1113";"GS";"GRANDE SECTION";"1992-09-01 00:00:00";"";"Non";"Non";1;0;0;4;"2017-08-25"
5;10;"2006-2007";"1121";"CP";"COURS PREPARATOIRE";"1992-09-01 00:00:00";"";"Non";"Non";1;0;0;5;"2017-08-25"
6;10;"2006-2007";"1122";"CE1";"COURS ELEMENTAIRE 1ERE ANNEE";"1992-09-01 00:00:00";"";"Non";"Non";1;0;0;6;"2017-08-25"
7;10;"2006-2007";"1123";"CE2";"COURS ELEMENTAIRE 2EME ANNEE";"1992-09-01 00:00:00";"";"Non";"Non";1;0;0;7;"2017-08-25"
8;10;"2006-2007";"1124";"CM1";"COURS MOYEN 1ERE ANNEE";"1992-09-01 00:00:00";"";"Non";"Non";1;0;0;8;"2017-08-25"
9;10;"2006-2007";"1125";"CM2";"COURS MOYEN 2EME ANNEE";"1992-09-01 00:00:00";"";"Non";"Non";1;0;0;9;"2017-08-25"
10;10;"2006-2007";"1211";"INIT.1E DEG";"1ER DEGRE : INITIATION";"1992-09-01 00:00:00";"";"Non";"Non";1;0;0;10;"2017-08-25"
11;10;"2006-2007";"1311";"ADAP.1E DEG";"1ER DEGRE : ADAPTATION";"1992-09-01 00:00:00";"";"Non";"Non";1;0;0;11;"2017-08-25"
12;10;"2006-2007";"1411";"SPEC.1E DEG";"1ER DEGRE : ENSEIGNEMENT SPECIAL";"1992-09-01 00:00:00";"";"Non";"Non";1;0;0;12;"2017-08-25"
13;10;"2006-2007";"2111";"6EME";"6EME";"1992-09-01 00:00:00";"";"Oui";"Oui";3;0;0;13;"2017-08-25"
14;10;"2006-2007";"2112";"5EME";"5EME";"1992-09-01 00:00:00";"";"Oui";"Oui";3;0;0;14;"2017-08-25"
15;10;"2006-2007";"2114";"4EME AES";"4EME D'AIDE ET DE SOUTIEN";"1993-09-01 00:00:00";"";"Oui";"Oui";1;0;0;15;"2017-08-25"
16;10;"2006-2007";"2115";"4EME";"4EME (NC 4E AES)";"1992-09-01 00:00:00";"";"Oui";"Oui";4;2;2;16;"2017-08-25"
17;10;"2006-2007";"2116";"3EME";"3EME";"1992-09-01 00:00:00";"";"Oui";"Oui";4;1;2;17;"2017-08-25"
18;10;"2006-2007";"2117";"3EME INSER";"3EME D'INSERTION";"1992-09-01 00:00:00";"2012-08-31 00:00:00";"Oui";"Oui";1;0;0;18;"2017-08-25"
19;10;"2006-2007";"2118";"DISPO RELAI";"DISPOSITIFS RELAIS";"1997-09-01 00:00:00";"";"Oui";"Oui";2;0;0;19;"2017-08-25"
20;10;"2006-2007";"2119";"ULIS";"UNITES LOCALISEES INCLUSION SCO.(EX UPI)";"1997-09-01 00:00:00";"";"Oui";"Oui";1;0;0;20;"2017-08-25"
21;10;"2006-2007";"2121";"4E TECHNO";"4EME TECHNOLOGIQUE";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;21;"2017-08-25"
22;10;"2006-2007";"2122";"3E TECHNO";"3EME TECHNOLOGIQUE";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;22;"2017-08-25"
23;10;"2006-2007";"2132";"CPA";"CPA";"1992-09-01 00:00:00";"";"Oui";"Oui";11;1;1;24;"2017-08-25"
24;10;"2006-2007";"2133";"CLIPA";"CL.D'INITIATION PREPROF. PAR ALTERNANCE";"1994-09-01 00:00:00";"";"Oui";"Oui";1;1;1;25;"2017-08-25"
25;10;"2006-2007";"2134";"APP JUNIOR";"FORMATION D'APPRENTI JUNIOR";"2006-09-01 00:00:00";"";"Oui";"Oui";1;0;0;26;"2017-08-25"
26;10;"2006-2007";"2211";"2NDE G-T";"SECONDE GENERALE & TECHNO YC BT";"1992-09-01 00:00:00";"";"Oui";"Oui";13;1;1;28;"2017-08-25"
27;10;"2006-2007";"2212";"1ERE G-T";"PREMIERE GENERALE & TECHNO YC BT";"1992-09-01 00:00:00";"";"Oui";"Oui";84;17;17;29;"2017-08-25"
28;10;"2006-2007";"2213";"TERM G-T";"TERMINALE GENERALE & TECHNO YC BT";"1992-09-01 00:00:00";"";"Oui";"Oui";58;19;19;30;"2017-08-25"
29;10;"2006-2007";"2311";"CAP 1 AN";"CAP EN 1 AN";"1992-09-01 00:00:00";"";"Oui";"Oui";247;7;7;31;"2017-08-25"
30;10;"2006-2007";"2321";"1CAP2";"CAP EN 2 ANS : 1ERE ANNEE";"1992-09-01 00:00:00";"";"Oui";"Oui";223;32;32;32;"2017-08-25"
31;10;"2006-2007";"2322";"2CAP2";"CAP EN 2 ANS : 2EME ANNEE";"1992-09-01 00:00:00";"";"Oui";"Oui";242;32;32;33;"2017-08-25"
32;10;"2006-2007";"2331";"1CAP3";"CAP EN 3 ANS : 1ERE ANNEE";"1992-09-01 00:00:00";"";"Oui";"Oui";64;0;0;34;"2017-08-25"
33;10;"2006-2007";"2332";"2CAP3";"CAP EN 3 ANS : 2EME ANNEE";"1992-09-01 00:00:00";"";"Oui";"Oui";64;0;0;35;"2017-08-25"
34;10;"2006-2007";"2333";"3CAP3";"CAP EN 3 ANS : 3EME ANNEE";"1992-09-01 00:00:00";"";"Oui";"Oui";64;0;0;36;"2017-08-25"
35;10;"2006-2007";"2341";"BEP 1 AN";"BEP EN 1 AN";"1992-09-01 00:00:00";"";"Oui";"Oui";42;0;0;37;"2017-08-25"
36;10;"2006-2007";"2351";"2NDE BEP";"BEP 2 ANS : 2NDE";"1992-09-01 00:00:00";"";"Oui";"Oui";69;30;31;38;"2017-08-25"
37;10;"2006-2007";"2352";"TERM BEP";"BEP 2 ANS : TERMINALE";"1992-09-01 00:00:00";"";"Oui";"Oui";68;30;31;39;"2017-08-25"
38;10;"2006-2007";"2361";"BACPRO 1 AN";"BAC PROFESSIONNEL EN 1 AN";"1992-09-01 00:00:00";"";"Oui";"Oui";70;0;0;40;"2017-08-25"
39;10;"2006-2007";"2371";"1BACPRO2";"BAC PRO 2 ANS : 1ERE";"1992-09-01 00:00:00";"";"Oui";"Oui";91;27;27;41;"2017-08-25"
40;10;"2006-2007";"2372";"TBACPRO2";"BAC PRO 2 ANS : TERMINALE";"1992-09-01 00:00:00";"";"Oui";"Oui";87;28;28;42;"2017-08-25"
